[Classes],Label,Introduced by,Hyperlink,When,Comment,Occurrences,Using GRFIDs
,"axleweight","Dutch Trainset 3XL",https://bananas.openttd.org/package/newgrf/544d0201,2026-06-20,"Axle weight",2,"544d0201 fb300c4b"
,"benches","Polish-Stations",https://bananas.openttd.org/package/newgrf/50530001,2026-02-12,"Benches",2,"50530001 fb300c4b"
,"builder","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Builder",2,"544e0101 fb300c4b"
,"fence","Polish-Stations",https://bananas.openttd.org/package/newgrf/50530001,2026-06-12,"Fence",2,"50530001 fb300c4b"
,"flag",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"Country/Region",5,"38424253 504e53ff 544d0201 57465907 fb300c4b"
,"ih_behaviour","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"Behaviour",2,"43411223 fb300c4b"
,"ih_gen","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"Gen",2,"43411223 fb300c4b"
,"ih_railtype","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_tech_tree","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"",1,"43411223"
,"ih_vehicle_family","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"AUTO GENERATED CLASS",0,
,"lanterns","Polish-Stations",https://bananas.openttd.org/package/newgrf/50530001,2026-02-12,"Lanterns",2,"50530001 fb300c4b"
,"livery",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"Livery",3,"43411223 504e53ff fb300c4b"
,"newgrf","Iron Horse 4 (Trains)",https://bananas.openttd.org/package/newgrf/43411223,2026-01-04,"AUTO GENERATED CLASS",0,
,"operator",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"Operator",2,"504e53ff fb300c4b"
,"platform_colour","Polish-Stations",https://bananas.openttd.org/package/newgrf/50530001,2026-02-12,"Colour",2,"50530001 fb300c4b"
,"power",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"Propulsion",8,"38424253 43411223 504e53ff 544d0201 544e0101 55464951 57465907 fb300c4b"
,"railgauge","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-03-30,"Track Gauge",2,"544e0101 fb300c4b"
,"region",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"Region",2,"504e53ff fb300c4b"
,"roadtype_flag_no_houses","U&RaTT 2",https://bananas.openttd.org/package/newgrf/55464950,2026-01-02,"no houses",2,"55464950 fb300c4b"
,"role",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"Role",5,"43411223 504e53ff 544d0201 57465907 fb300c4b"
,"roof","Polish-Stations",https://bananas.openttd.org/package/newgrf/50530001,2026-02-14,"Roof",2,"50530001 fb300c4b"
,"screen","Polish-Stations",https://bananas.openttd.org/package/newgrf/50530001,2026-02-14,"Screen",2,"50530001 fb300c4b"
,"shelter","Polish-Stations",https://bananas.openttd.org/package/newgrf/50530001,2026-02-14,"Shelter",2,"50530001 fb300c4b"
,"zone",OpenTTD default badges,https://github.com/OpenTTD/OpenTTD/pull/13655,2025-02-27,"Zone",2,"504e53ff fb300c4b"
[axleweight],Label,Introduced by,Hyperlink,When,Comment,Occurrences,Using GRFIDs
,"axleweight/A","Dutch Trainset 3XL",https://bananas.openttd.org/package/newgrf/544d0201,2026-06-20,"(Class A) Very low ",2,"544d0201 fb300c4b"
,"axleweight/B","Dutch Trainset 3XL",https://bananas.openttd.org/package/newgrf/544d0201,2026-06-20,"(Class B) Low",2,"544d0201 fb300c4b"
,"axleweight/C","Dutch Trainset 3XL",https://bananas.openttd.org/package/newgrf/544d0201,2026-06-20,"(Class C) Medium",2,"544d0201 fb300c4b"
,"axleweight/D","Dutch Trainset 3XL",https://bananas.openttd.org/package/newgrf/544d0201,2026-06-20,"(Class D) High",2,"544d0201 fb300c4b"
,"axleweight/E","Dutch Trainset 3XL",https://bananas.openttd.org/package/newgrf/544d0201,2026-06-20,"(Class E) Very high",2,"544d0201 fb300c4b"
[benches],Label,Introduced by,Hyperlink,When,Comment,Occurrences,Using GRFIDs
,"benches/birch","Polish-Stations",https://bananas.openttd.org/package/newgrf/50530001,2026-02-12,"Birch",2,"50530001 fb300c4b"
,"benches/dutch","Polish-Stations",https://bananas.openttd.org/package/newgrf/50530001,2026-02-12,"Dutch",2,"50530001 fb300c4b"
,"benches/modern","Polish-Stations",https://bananas.openttd.org/package/newgrf/50530001,2026-02-12,"Modern",2,"50530001 fb300c4b"
,"benches/oak","Polish-Stations",https://bananas.openttd.org/package/newgrf/50530001,2026-02-12,"Oak",2,"50530001 fb300c4b"
[builder],Label,Introduced by,Hyperlink,When,Comment,Occurrences,Using GRFIDs
,"builder/23_august","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"'23 August' Bucharest Locomotive Works",2,"544e0101 fb300c4b"
,"builder/aeg","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Allgemeine Elektricitäts-Gesellschaft 'AEG'",2,"544e0101 fb300c4b"
,"builder/alco","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"American Locomotive Company 'ALCO'",2,"544e0101 fb300c4b"
,"builder/alsthom","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Alsthom",2,"544e0101 fb300c4b"
,"builder/ansaldo_breda","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"AnsaldoBreda",2,"544e0101 fb300c4b"
,"builder/baldwin","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Baldwin Locomotive Works",2,"544e0101 fb300c4b"
,"builder/bbc","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Brown, Boweri & Cie. 'BBC'",2,"544e0101 fb300c4b"
,"builder/beyer_peacock","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Beyer, Peacock & Co.",2,"544e0101 fb300c4b"
,"builder/blh","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Baldwin-Lima-Hamilton",2,"544e0101 fb300c4b"
,"builder/brown_marshall","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Brown, Marshalls & Co.",2,"544e0101 fb300c4b"
,"builder/brush","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Brush Traction",2,"544e0101 fb300c4b"
,"builder/caf","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Construcciones y Auxiliar de Ferrocarriles 'CAF'",2,"544e0101 fb300c4b"
,"builder/carminati_toselli","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Carminati & Toselli",2,"544e0101 fb300c4b"
,"builder/cfd","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"CFD Bagnères",2,"544e0101 fb300c4b"
,"builder/clyde","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Clyde Locomotive Company",2,"544e0101 fb300c4b"
,"builder/comeng","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Commonwealth Engineering 'COMENG'",2,"544e0101 fb300c4b"
,"builder/crochat","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Ateliers Henry Crochat",2,"544e0101 fb300c4b"
,"builder/crrc","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"CRRC",2,"544e0101 fb300c4b"
,"builder/crrc/tangshan","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"CRRC Tangshan",2,"544e0101 fb300c4b"
,"builder/crrc/zuzhou","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"CRRC Zuzhou",2,"544e0101 fb300c4b"
,"builder/downer","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Downer Rail",2,"544e0101 fb300c4b"
,"builder/dubs","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Dübs & Co.",2,"544e0101 fb300c4b"
,"builder/ee","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"English Electric",2,"544e0101 fb300c4b"
,"builder/emd","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Electro-Motive Division 'EMD'",2,"544e0101 fb300c4b"
,"builder/falcon","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Falcon Engine & Car Works",2,"544e0101 fb300c4b"
,"builder/ferrostaal","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Ferrostaal",2,"544e0101 fb300c4b"
,"builder/fiat","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Fiat Ferroviari",2,"544e0101 fb300c4b"
,"builder/foster_rastrick","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Foster, Rastrick & Co.",2,"544e0101 fb300c4b"
,"builder/fuji","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Fuji Heavy Industries",2,"544e0101 fb300c4b"
,"builder/fv_del_bajio","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Ferrovías del Bajío, S.A. de C.V.",2,"544e0101 fb300c4b"
,"builder/ganz_mavag","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Ganz-MAVAG",2,"544e0101 fb300c4b"
,"builder/ge","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"General Electric 'GE'",2,"544e0101 fb300c4b"
,"builder/gm","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"General Motors 'GM'",2,"544e0101 fb300c4b"
,"builder/goninan","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"A. Goninan & Co.",2,"544e0101 fb300c4b"
,"builder/haiphong","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Haiphong Carriage Company",2,"544e0101 fb300c4b"
,"builder/henschel","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Henschel & Son",2,"544e0101 fb300c4b"
,"builder/hinkley","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Hinkley Locomotive Works",2,"544e0101 fb300c4b"
,"builder/hitachi","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Hitachi Rail",2,"544e0101 fb300c4b"
,"builder/hk_porter","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"H.K. Porter, Inc.",2,"544e0101 fb300c4b"
,"builder/horlock","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"A. Horlock & Co.",2,"544e0101 fb300c4b"
,"builder/hunslet","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Hunslet Engine Company",2,"544e0101 fb300c4b"
,"builder/inka","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Industri Kereta Api",2,"544e0101 fb300c4b"
,"builder/jgr","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"JGR Works",2,"544e0101 fb300c4b"
,"builder/jgr/kobe","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"JGR Kobe Works",2,"544e0101 fb300c4b"
,"builder/kaluga","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Kalugatransmash",2,"544e0101 fb300c4b"
,"builder/kawasaki","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Kawasaki Heavy Industries",2,"544e0101 fb300c4b"
,"builder/kisha_seizo","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Kisha Seizo",2,"544e0101 fb300c4b"
,"builder/kitson","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Kitson & Co.",2,"544e0101 fb300c4b"
,"builder/komarek","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Komarek Maschinenfabrik",2,"544e0101 fb300c4b"
,"builder/krauss_maffei","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Krauss-Maffei",2,"544e0101 fb300c4b"
,"builder/lkm","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Lokomotivbau 'Karl Marx' Babelsberg",2,"544e0101 fb300c4b"
,"builder/mav","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"MÁV Northern Repair Works",2,"544e0101 fb300c4b"
,"builder/metro_cammell","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Metro-Cammell",2,"544e0101 fb300c4b"
,"builder/mtm","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Maquinista Terrestre y Maritima 'MTM'",2,"544e0101 fb300c4b"
,"builder/munktells","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Munktells Mekaniska Verkstad",2,"544e0101 fb300c4b"
,"builder/nasmyth_wilson","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Nasmyth, Wilson & Co.",2,"544e0101 fb300c4b"
,"builder/neilson","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Neilson & Co.",2,"544e0101 fb300c4b"
,"builder/niigata","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Niigata Transys",2,"544e0101 fb300c4b"
,"builder/nippon_sharyo","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Nippon Sharyo",2,"544e0101 fb300c4b"
,"builder/north_british","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"North British Locomotive Company",2,"544e0101 fb300c4b"
,"builder/nzr","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"NZR Workshops",2,"544e0101 fb300c4b"
,"builder/nzr/addington","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"NZR Addington Workshops",2,"544e0101 fb300c4b"
,"builder/nzr/hillside","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"NZR Hillside Workshops",2,"544e0101 fb300c4b"
,"builder/nzr/hutt","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"NZR Hutt Workshops",2,"544e0101 fb300c4b"
,"builder/nzr/otahuhu","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"NZR Otahuhu Workshops",2,"544e0101 fb300c4b"
,"builder/orenstein_koppel","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Orenstein & Koppel",2,"544e0101 fb300c4b"
,"builder/pullman","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Pullman Palace Car Company",2,"544e0101 fb300c4b"
,"builder/ringhoffer","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Ringhoffer",2,"544e0101 fb300c4b"
,"builder/robatel_buffaud","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Ateliers Robatel & Buffaud",2,"544e0101 fb300c4b"
,"builder/sachsiche","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Sächsische Maschinenfabrik",2,"544e0101 fb300c4b"
,"builder/siemens","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Siemens Mobility",2,"544e0101 fb300c4b"
,"builder/sig","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Schweizerische Industrie Gesellschaft 'SIG'",2,"544e0101 fb300c4b"
,"builder/slm","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Swiss Locomotive and Machine Works 'SLM'",2,"544e0101 fb300c4b"
,"builder/smz","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"SMZ Dubnica",2,"544e0101 fb300c4b"
,"builder/soule","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Établissements Soulé",2,"544e0101 fb300c4b"
,"builder/stadler","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Stadler Rail",2,"544e0101 fb300c4b"
,"builder/sulzer","2cc Narrow Gauge in NML",https://bananas.openttd.org/package/newgrf/544e0101,2026-08-03,"Sulzer",2,"544e0101 fb300c4b"
